run,max_n_features,n_classes,batch_size,test_size,epochs,lr,model,cost_classification,cost_align_ref,cost_align_dat,epoch,train_loss,train_auc,train_acc,test_loss,test_auc,test_acc
16593598273784178,748,11,64,0.4,200,5e-05,BaselineModel,1.0,1.0,1.0,199,1.9484647505623953,0.9063311942385984,0.6341496172270225,1.9493820871917986,0.9081825860935779,0.6342331453129197
16593598274052872,748,11,64,0.4,200,5e-05,BaselineModel,1.0,1.0,10.0,199,1.9377931022644044,0.9184516766033078,0.6494157675605498,1.938762657120504,0.9194086752322748,0.6467230727907601
16593700768843964,748,11,64,0.4,200,5e-05,BaselineModel,1.0,1.0,100.0,198,1.9860259011813572,0.897905170945603,0.6150333527331334,1.9881578555946187,0.8983622399191097,0.6100590921300026
16593704023629046,748,11,64,0.4,200,5e-05,BaselineModel,1.0,10.0,1.0,198,1.947092774936131,0.9208083461874282,0.6435062900120876,1.9502363056583978,0.9204623026610206,0.6410153102336825
16593802436335220,748,11,64,0.4,200,5e-05,BaselineModel,1.0,10.0,10.0,199,1.9624870439938136,0.9083715526568303,0.6428347584724896,1.9655477089943292,0.9085549625463868,0.6398066075745367
16593810842857854,748,11,64,0.4,200,5e-05,BaselineModel,1.0,10.0,100.0,198,1.9783950356074742,0.9178591775611843,0.6253301696736356,1.979741608636062,0.9188056457491044,0.6268466290625839
16593905011039842,748,11,64,0.4,200,5e-05,BaselineModel,1.0,100.0,1.0,199,1.9784898635319301,0.9108870727338544,0.6093029502618973,1.9818515127820517,0.9116518316780094,0.6044184797206554
16593917119471356,748,11,64,0.4,200,5e-05,BaselineModel,1.0,100.0,10.0,199,1.9447155966077532,0.9417899914654879,0.6468191789407709,1.946395104535148,0.9422403902127282,0.6473274241203331
16594009123785668,748,11,64,0.4,200,5e-05,BaselineModel,1.0,100.0,100.0,199,1.9655608674458096,0.9089518369532027,0.6269418453686708,1.9677141971342553,0.9105492064646967,0.6261079774375503
16594020709877786,748,11,64,0.4,200,5e-05,CustomModel,1.0,1.0,1.0,198,1.543552074091775,1.0,1.0,1.5436663637857069,1.0,1.0
16594110933688596,748,11,64,0.4,200,5e-05,CustomModel,1.0,1.0,10.0,166,1.5453717933382307,1.0,1.0,1.545516550796738,1.0,0.9998656997045393
16594133496484544,748,11,64,0.4,200,5e-05,CustomModel,1.0,1.0,100.0,198,1.5628258078438895,1.0,1.0,1.5628224028026598,1.0,1.0
16594221716854324,748,11,64,0.4,200,5e-05,CustomModel,1.0,10.0,1.0,149,1.543540735925947,1.0,1.0,1.5437156381525194,1.0,0.9999328498522697
16594248824737250,748,11,64,0.4,200,5e-05,CustomModel,1.0,10.0,10.0,182,1.545222362109593,1.0,1.0,1.545324835654492,1.0,1.0
16594332468028496,748,11,64,0.4,200,5e-05,CustomModel,1.0,10.0,100.0,151,1.5630877430098398,1.0,1.0,1.5631724191837557,0.9999999949718451,0.9999328498522697
16594361502948814,748,11,64,0.4,200,5e-05,CustomModel,1.0,100.0,1.0,153,1.5435258296557834,1.0,1.0,1.5436151825818893,1.0,1.0
16594442682798092,748,11,64,0.4,200,5e-05,CustomModel,1.0,100.0,10.0,198,1.5452070879936217,1.0,1.0,1.5452884578909485,1.0,1.0
16594474245393238,748,11,64,0.4,200,5e-05,CustomModel,1.0,100.0,100.0,198,1.5628366439683097,1.0,1.0,1.5628146168500057,1.0,1.0
16594555018541008,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,1.0,1.0,160,1.543542559828077,1.0,1.0,1.5437248530817647,1.0,1.0
16594587231484206,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,1.0,10.0,193,1.5451409649848937,1.0,1.0,1.5452938801229257,1.0,1.0
16594666398499486,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,1.0,100.0,184,1.5628239178657533,1.0,1.0,1.5627262863478435,1.0,1.0
16594697384878756,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,10.0,1.0,193,1.5435079731260026,1.0,1.0,1.5436650959718892,1.0,1.0
16594774891870210,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,10.0,10.0,175,1.545132347175053,1.0,1.0,1.545297491703934,1.0,0.9999328498522697
16594805630213534,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,10.0,100.0,159,1.5625805561883108,1.0,1.0,1.5628916680045395,1.0,1.0
16594882827171804,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,100.0,1.0,149,1.5435189584323339,1.0,1.0,1.5436782120635069,1.0,0.9999328498522697
16594912112887190,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,100.0,10.0,174,1.5451986207280841,1.0,1.0,1.5454205335977251,1.0,0.9998656997045393
16594991616589888,748,11,64,0.4,200,5e-05,CustomModelRef,1.0,100.0,100.0,183,1.562508113043649,1.0,1.0,1.56270074690872,1.0,0.9999328498522697
16595019272296174,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,1.0,1.0,193,1.543253709248134,1.0,1.0,1.5433751682355168,1.0,1.0
16595099235472178,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,1.0,10.0,180,1.54386885200228,1.0,1.0,1.5440333124905696,1.0,0.9999328498522697
16595322362989860,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,1.0,100.0,193,1.5484500459262303,1.0,1.0,1.5485556903315205,1.0,1.0
16595406689269180,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,10.0,1.0,197,1.5432182390349252,1.0,1.0,1.543306194661513,1.0,1.0
16595626089080992,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,10.0,10.0,191,1.5439508427892412,1.0,1.0,1.544037992862161,1.0,1.0
16595719769711004,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,10.0,100.0,197,1.5486335049356732,1.0,1.0,1.5488938159697045,1.0,0.9998656997045393
16595932269851176,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,100.0,1.0,190,1.5432289951188223,1.0,1.0,1.5433961362797814,1.0,0.9999328498522697
16596034467031548,748,11,64,0.4,200,5e-05,CustomModelAlign,1.0,100.0,10.0,197,1.5439138436317443,1.0,1.0,1.5440338103044697,1.0,1.0
16596942299604230,748,11,64,0.7,75,8e-05,CustomModel,1.0,1.0,1.0,67,1.5495544399533954,1.0,0.9999104584527221,1.5506326451021082,0.9999999946181787,0.9996930278960899
16596942299899656,748,11,64,0.7,75,8e-05,CustomModel,1.0,1.0,10.0,74,1.5479179559435163,1.0,1.0,1.548590100571221,0.9999999887979938,0.9998848854610337
